passation_hour_pre,visitor_id,age,gender,city_country_residence,nationality,french_level,diploma,one_artwork_interest,discovery_interest,crowd_tolerance,lose_interest_with_crowd,distance_tolerance,already_visited,number_visits,last_time_visited,group_or_alone,visit_duration,eye_problem,physical_sleepiness,mental_sleepiness,speed,current_emotion,motiv_curiosity,motiv_else,motiv_familyOut,motiv_price,motiv_schoolOut,motiv_weather,visitGoal_surprised,visitGoal_else,visitGoal_explore,visitGoal_inspiration,visitGoal_fun,visitGoal_interact,visitGoal_learn,visitGoal_noGoal,visitGoal_SeeAgain,visitGoal_mindOff,passation_hour_post,art_knowledge,art_involvement,visit_rate,taking_audioguide,application_interest,appli_knowledge,satisfaction,goals_reached,device_trouble,crowd_trouble,dist_sensation,multiple_paths,recsys_personalization,diversity,theme_path,geolocalisation_acceptance,context_dependence,mood_dependence,sleepiness_dependence,end_visit_physical_sleepiness,end_visit_mental_sleepiness,panel_interest,memory_test_fr,surprise_event_fr,comments_fr,memory_test_en,surprise_event_en,comments_en,musHabit_archeo,musHabit_histArt,musHabit_castle,musHabit_contemporary,musHabit_else,musHabit_fineArt,musHabit_natHist,musHabit_nature,musHabit_none,musDisco_else,musDisco_familyFriends,musDisco_magazine,musDisco_media,musDisco_nothing,musDisco_socNetwork,wantedFunc_catalog,wantedFunc_else,wantedFunc_games,wantedFunc_map,wantedFunc_nothing,wantedFunc_reco,wantedFunc_thematicTour,visit_duration_limited,gender_code
2019/03/18 2:05:43 PM UTC+2,201903181400,28,woman,"Nancy, France",french,Native/bilingual,PhD,3,2,2,1,5,Yes,1,About a year ago,alone,unlimited,Normal vision,4,3,3,3,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,2019/03/18 3:16:54 PM UTC+2,Low level,No involvement,A few times a year,No,Yes,No,4,4,3,2,2,0,0,0,0,0,4,5,5,3,3,4,"J'ai découvert le tableau ""l'allée ombragée"" de charles de Meixhmoron [orthographe à vérifier] au RDC dans le coin où il y a Manet. C'est un tableau que j'aimais bien",Il n'y avait pas beaucoup de monde,Rien,I discovered the painting “l'allée ombragée” by charles de Meixhmoron [spelling to be verified] in the ground floor in the corner where there is Manet. It's a painting I liked.,It wasn't very crowded,Nothing,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0.0
2019/03/18 3:03:56 PM UTC+2,201903181410,37,man,"Nancy, France",french,Native/bilingual,PhD,1,1,1,5,5,Yes,1,About a year ago,alone,45,Normal vision,2,2,3,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2019/03/18 3:57:58 PM UTC+2,Low level,No involvement,rarely or never,No,Yes,No,4,5,1,1,1,5,4,1,5,5,2,4,2,1,2,5,"J'ai découvert un tableau intitulé ""Jugement dernier"" (peinture hollandaise) qui m'a marqué parce qu'on voit des gens brûler et se faire torturer. ça dénote un peu du reste des tableaux assez pieux","J'ai découvert un tableau intitulé ""Jugement dernier"" (peinture hollandaise) qui m'a marqué parce qu'on voit des gens brûler et se faire torturer. ça dénote un peu du reste des tableaux assez pieux",Je suis dérangé par l'écriture inclusive du questionnaire,I came across a painting called “Last Judgment” (Dutch painting) which struck me because it shows people being burned and tortured. It's a bit different from the rest of the rather pious paintings.,I discovered a painting entitled “Last Judgement” (Dutch painting) which impressed me because it shows people being burned and tortured. It's a bit different from the rest of the rather pious paintings,I'm disturbed by the inclusive writing on the questionnaire,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1.0
2019/03/18 5:07:17 PM UTC+2,201903181610,29,man,"Nancy, France",french,Native/bilingual,A levels,1,2,1,3,5,Yes,1,Several years ago,group,unlimited,Normal vision,4,1,4,5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,2019/03/18 6:10:21 PM UTC+2,Low level,No involvement,rarely or never,No,Yes,No,5,5,1,1,3,4,5,2,5,5,1,3,3,3,5,2,Je n'imaginais pas qu'il y avait autant de format de peintures et des dimensions aussi grandes pour certaines toiles,"La sculpture en bois ""Misère"" ",Rien,"I had no idea that there were so many different sizes of painting, and that some canvases were so large.",The wooden sculpture Misère,Nothing,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1.0
2019/03/18 5:07:21 PM UTC+2,201903181600,29,woman,"Nancy, France",french,Native/bilingual,PhD,1,4,3,4,5,No,0,Never,group,unlimited,Normal vision,3,3,4,5,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,2019/03/18 6:11:22 PM UTC+2,General level,No involvement,rarely or never,No,Yes,No,4,4,3,1,1,4,2,4,5,5,5,5,5,1,1,5,je ne connaissais pas l'existance de l'huile sur carton,Huile sur carton,Dispositif intéressant et pertinent. Il serait pertinent de pouvoir sélectionner les oeuvres que l'on souhaite voir via leur époque ou leur style de façon accessible à une personne qui n'est pas formée en art. Il est difficile de se repérer seulement grâce au siècle des oeuvres et l'errance que cela peut entrainer décourage au bout d'un certain temps de visite.,I didn't know about oil on cardboard,Oil on cardboard,"Interesting and relevant feature.It would be useful to be able to select the works you want to see by their period or style, in a way that is accessible to someone who is not trained in art.It's hard to get your bearings just by looking at the century of the works, and the wandering that can entail is discouraging after a while.",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0.0
2019/03/20 11:28:21 AM UTC+2,201903201020,50,woman,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",5,5,5,1,5,Yes,5,Several months ago,group,unlimited,Amblyopia,1,1,5,5,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,2019/03/20 12:46:38 PM UTC+2,Art lover,Art teacher,A few times a year,No,Yes,No,4,5,4,1,2,5,1,5,5,1,5,1,1,4,1,5,La famille Bastien-Lepage car mon école est Rue Bastien-Lepage et je ne savais pas que c'était un artiste. Il y a un artiste dans la famille et un physicien. J'ai découvert une famille qui me touche.,"J'adore la salle avec les miroirs [Infinite Mirror Room] et j'ai été amusée et intriguée par le mobilier Jean Prouvé. Pour l'époque c'était bien. Je l'ai découvert, il avait de bonnes idées, il était précurseur.",Rien,The Bastien-Lepage family because my school is Rue Bastien-Lepage and I didn't know he was an artist.There's an artist in the family and a physicist. I've discovered a family that touches me.,"I love the Infinite Mirror Room and I was amused and intrigued by the Jean Prouvé furniture. It was good for the time. I discovered him, he had good ideas, he was a precursor.",Nothing,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0.0
2019/03/20 11:28:23 AM UTC+2,201903201010,21,woman,"Nancy, France",french,Native/bilingual,A levels,4,3,2,3,3,Yes,5,A few weeks ago,group,unlimited,Normal vision,1,2,3,5,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,2019/03/20 12:46:40 PM UTC+2,General level,No involvement,A few times a year,No,Yes,Yes but I did not use it during the visit,5,5,4,2,3,4,4,4,4,4,3,4,5,4,4,5,"Les visages des personnages sur le tableau ""L'enterrement"" de Courbet (salle Friant). Il a représenté chaque personnage homme important à l'époque (le maire de Nancy, un botaniste et un architecte). Ce n'est pas un tableau qui représente une scène saisie sur l'instant. J'ai également trouvé impressionnant la version animée du tableau de Friant. Ils ont filmé avec de vraies personnes pour reproduire le tableau.",Le beau fauteuil dans la chambre de la résidence étudiante fait par Prouvé,J'ai aimé pouvoir toucher la reproduction en marbre des amoureux de Friant. C'est une matière froide et assez sensuelle donc c'est agréable à toucher et doux et ça change dans un musée où on n'a d'habitude pas le droit de toucher.,"The faces of the characters in Courbet's painting “L'enterrement” (salle Friant). He depicted every important man of the time (the mayor of Nancy, a botanist and an architect). It's not a painting that represents a scene captured in the moment. I was also impressed by the animated version of Friant's painting. They filmed with real people to reproduce the painting.","The beautiful armchair in the student residence room, made by Prouvé.","I liked being able to touch the marble reproduction of Friant's lovers. It's a cold and rather sensual material, so it's nice and soft to touch, and makes a nice change in a museum where you're not usually allowed to touch.",0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0.0
2019/03/20 1:18:00 PM UTC+2,201903201200,59,man,"Colombey les Belles, France",french,Native/bilingual,"Master's Degree, MS/MSc",2,4,4,1,5,Yes,2,About a year ago,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",3,1,3,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2019/03/20 2:30:18 PM UTC+2,Low level,No involvement,A few times a year,No,Yes,No,4,4,3,1,1,4,4,4,4,2,4,2,2,2,2,4,J'ai appris en lisant le cartel qu'il y a une oeuvre qui a été récupérée dans la collection de Goering,La collection de Cartier Bresson à l'entresol. J'ai été surpris car je ne savais pas qu'elle était là et qu'elle était aussi fournie,J'aurai dû commencer par le RDC,I learned from reading the cartel that there is a work that was recovered from Goering's collection.,The Cartier Bresson collection on the underground. I was surprised because I didn't know it was there and that it was so extensive.,I should have started with the ground floor,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1.0
2019/03/20 1:20:39 PM UTC+2,201903201210,38,woman,"Pierre la Treiche, France",french,Native/bilingual,"Master's Degree, MS/MSc",2,5,1,4,4,Yes,2,About a year ago,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",1,4,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2019/03/20 2:28:17 PM UTC+2,Low level,No involvement,A few times a year,No,No,No,3,4,5,2,1,0,0,0,0,0,3,2,3,1,1,0,Il y a deux tableaux dans l'escalier entre le RDC et le 1er [après la salle Prouvé] qui sont de l’École de Nancy,Les couleurs des tableaux des étages sont tristes,Problème de reflets sur les tableaux à cette heure-ci [entre 12h et 14h],There are two paintings in the staircase between the ground floor and the 1st floor [after the Prouvé room] by the École de Nancy.,The colors of the paintings on the floors are sad,Problem of reflections on the paintings at this time of day [between 12pm and 2pm].,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0
2019/03/20 3:00:05 PM UTC+2,201903201410,24,man,"Nancy, France",french,Native/bilingual,"BA, BS/BSc",4,3,1,3,5,No,0,Never,group,unlimited,Normal vision,2,4,5,4,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,2019/03/20 4:45:56 PM UTC+2,General level,No involvement,A few times a year,No,No,No,4,4,2,1,2,0,0,0,0,0,2,4,3,2,3,4,Rien,Le fait que le musée des beaux-arts de Nancy ait une œuvre Picasso,Rien,Nothing,The fact that Nancy's Musée des Beaux-Arts has a Picasso work,Nothing,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1.0
2019/03/20 3:00:38 PM UTC+2,201903201400,22,woman,"Nancy, France",french,Native/bilingual,"BA, BS/BSc",2,2,4,4,4,No,0,Never,group,unlimited,Normal vision,3,2,3,4,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2019/03/20 4:45:37 PM UTC+2,Low level,No involvement,A few times a year,No,Yes,No,5,5,4,1,1,5,4,5,3,4,3,3,2,1,1,4,Rien,Rien,Rien,Nothing,Nothing,Nothing,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0.0
2019/03/20 5:08:18 PM UTC+2,201903201600,22,man,"Nancy, France",french,Native/bilingual,A levels,4,3,2,2,5,No,0,Never,alone,unlimited,Normal vision,2,3,4,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2019/03/20 5:50:37 PM UTC+2,Low level,No involvement,A few times a year,No,Yes,No,5,5,1,1,1,3,5,4,5,5,2,4,3,1,1,4,Le vrai nom de Claude le Lorrain,Rien,Rien,The real name of Claude le Lorrain,Nothing,Nothing,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1.0
2019/03/20 5:21:59 PM UTC+2,201903201610,13,man,"Nancy, France",french,Native/bilingual,No diploma,1,1,5,1,3,Yes,10,A few weeks ago,alone,10,Daltonism,3,3,3,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2019/03/20 5:42:10 PM UTC+2,Low level,No involvement,One or more times a month,No,Yes,No,5,5,1,1,1,5,5,5,5,3,1,3,4,3,1,5,Claude MONET à fait une peinture sur la falaise d'Etretat,Une salle rarement exposée était présente aujourd'hui,non,Claude MONET's painting of the Etretat cliffs,A rarely exhibited room was present today,Nothing,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1.0
2019/03/22 3:16:35 PM UTC+2,201903221400,57,woman,"Nancy, France",french,Native/bilingual,PhD,2,5,1,1,5,Yes,50,A few weeks ago,alone,unlimited,Normal vision,5,5,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2019/03/22 4:37:07 PM UTC+2,General level,No involvement,One or more times a month,Yes,No,No,5,4,1,4,1,5,3,2,5,5,5,3,1,1,1,4,"Mme Galilée a donné 117 oeuvres au musée parmi sa collection dans les années 60 et elle appelait les tableaux ""ses enfants"". Son mari était un collectionneur issu de la région. Je ne savais pas. Je ne connaissais pas non plus le mot contexture (Manière dont se présentent les éléments d'un tout complexe, notamment organique). Ce terme était employé dans la collection Prouvé car dans le domaine de la construction de bâtiment, il ne faut pas prendre en compte le contexte mais la contexture. Dans un musée, on apprend ou on redécouvre plein de choses car on oublie parfois d'une fois sur l'autre. Je ne savais pas que ce bâtiment avait été un théâtre. Friant était condisciple du sculpture qui a fait l'AG des étudiants. ",Je n'ai pas énormément observé la salle aux miroirs car j'ai le vertige. C'était affreux. J'ai eu du mal à ressortir. J'ai également été surprise par les oeuvres fantômes. On ne peut pas dire que je suis un très grand fan mais ça m'a attiré.,"Je pense qu'il faudrait faire plusieurs fois la même visite pour voir si ça modifie quelque chose à la façon de regarder. Je ne me rappelais pas qu'il y avait le Picasso de la fin de sa vie [Il a été remis il y a peu au RDC]. J'ai pris plein de plaisirs à aller voir ça. D'habitude j'y vais dans un contexte professionnel ou pour accompagner ma famille et j'ai un parcours contraint. ça faisait longtemps que je n'avais pas refait la visite toute seule et pour moi. Je suis retourné voir plusieurs fois les tableaux que j'aime beaucoup (Picasso, Modigliani, Friant). Le Modigliani a une très belle lumière. En revanche, il y a un effort de scénographie à faire par rapport à d'autres villes. Par exemple l'enterrement de Friant est ""coupé"" en deux par un mur perpendiculaire. On a du mal à l'appréhender complètement. Il y a aussi des oeuvres que je déteste. Par exemple un box en métal avec des crânes en verre alors que d'habitude j'aime bien les masques. Je ne sais pas pourquoi, mais ça m'évoque la mort des mineurs et la fin des mines.","Mme Galilée donated 117 works from her collection to the museum in the 1960s, calling the paintings “her children”. Her husband was a collector from the region. I had no idea. Nor did I know the word contexture (the way in which the elements of a complex whole, especially an organic whole, are presented). This term was used in the Prouvé collection because, in building construction, it's not the context that has to be taken into account, but the contexture. In a museum, you learn or rediscover a lot of things, because sometimes you forget from one time to the next. I didn't know that this building had once been a theater. Friant was a fellow student of the sculpture that led the students' AGM.","I didn't see much of the Hall of Mirrors because I'm afraid of heights. It was awful.I had trouble getting out. I was also surprised by the ghost works. I'm not a huge fan, but I was drawn to them.","I think you'd have to make the same visit several times to see if it changes anything in the way you look. I didn't remember that there was a Picasso at the end of his life [It was recently returned to the ground floor]. I took great pleasure in going to see it.I usually go in a professional context or to accompany my family, and I have a restricted itinerary. It's been a long time since I've done the visit on my own and for myself.I went back several times to see the paintings I really like (Picasso, Modigliani, Friant). The Modigliani has a beautiful light. On the other hand, there's an effort to be made in terms of scenography compared with other cities.For example, Friant's funeral is “cut” in two by a perpendicular wall. It's hard to fully grasp it. There are also works that I dislike. For example, a metal box with glass skulls, whereas I usually like masks. I don't know why, but it reminds me of the death of the miners and the end of the mines.",1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0.0
2019/03/23 11:18:53 AM UTC+2,201903231010,22,woman,"Heillecourt, France",french,Native/bilingual,"BA, BS/BSc",2,4,2,4,4,Yes,1,Several years ago,group,unlimited,Normal vision,3,4,3,4,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,2019/03/23 12:37:48 PM UTC+2,General level,No involvement,A few times a year,No,Yes,No,4,4,3,1,1,4,5,4,4,4,1,1,1,4,4,4,"Que le musée actuel est le fruit de 3 ""constructions"" successives par des architectes différents",La précision d'Emile Friant sur les visages,non,That the current museum is the result of 3 successive “constructions” by different architects.,Emile Friant's precision on faces,Nothing,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0.0
