trajectory_id,duration,speed,nb_items,nb_stops,length,distwall,curvature,avg_observation_time
201903091010,3768.0,14.566135246230312,69.0,54,54660.3331070345,141.34724630845744,0.0519631511983102,50.86080504347827
201903091200,2982.0,32.66631731765516,161.0,53,97118.97662139402,178.6001780924323,0.0624237524182482,6.259029809523789
201903091210,2990.0,31.855418959723504,140.0,52,94979.85081576787,176.66176960315448,0.033465613612156,8.279946111111132
201903091410,4214.0,19.449642575016405,135.0,70,81715.29828917944,178.02812703411507,0.0378253161169196,18.64330872727275
201903091600,2400.0,30.76509906157523,119.0,45,73774.6501236339,205.15039966753596,0.0114338313302699,12.428927400000038
201903111400,3588.0,33.08266866948699,224.0,50,118636.25194664524,188.67880209033868,0.0249486399521418,14.197355854166654
201903181610,2890.0,24.64272417362217,110.0,58,71036.20115961113,179.35191984576375,0.0204071614085824,8.97769376923077
201903201010,3628.0,16.034010381550782,71.0,55,58025.57408158322,139.46006599765448,0.050527474833136,20.263011633333353
201903201020,3632.0,16.18825114031049,90.0,58,58582.53836363254,132.0712599201389,0.1177850504838531,13.806519022222245
201903211400,3188.0,30.33672713206904,85.0,29,96548.18485025287,191.31600232005556,0.2403740914980652,10.19151775999999
201903211410,3116.0,30.6751098669646,86.0,21,95534.77146279025,175.37602351848523,0.2061276635295502,7.3477859000000105
