trajectory_id,isovist_area_mean,isovist_area_min,isovist_area_max,isovist_perimeter_mean,isovist_perimeter_min,isovist_perimeter_max,n_points,isovist_area_range
201902211710,37195460.73814654,1268985.855697879,172938508.0499056,84956.1997282649,9387.646442200341,369208.0447998962,33,171669522.19420773
201902221020,24799744.863654822,371524.321020353,177745612.66596356,69876.02074324088,5720.7000894256,371824.08380072535,74,177374088.3449432
201902221200,26860076.50340464,1059347.9346846195,141574232.97176278,76980.96392297889,12611.774631135948,337059.4125854451,42,140514885.03707814
201902221210,48684089.10007424,805476.6293438692,207213107.9554814,102961.64238845292,5104.577244525584,398894.7297500266,44,206407631.32613754
201902221400,29265822.41399577,411209.7356769835,292542828.88276577,61414.539184557856,6074.453626228588,346804.47790958115,150,292131619.14708877
201902221410,181519007.6657708,4077358.2910068077,367161597.61087334,101498.34530116398,43611.09301155452,401924.728934539,45,363084239.31986654
201902221600,64274050.35463669,1441557.614370144,230787689.56326115,138471.8222693408,7127.666579166173,396285.1448340255,49,229346131.948891
201902221610,23929638.10839061,1266739.8707437706,210452182.20608538,82983.61184961059,7474.997109473475,381827.9170736151,37,209185442.3353416
201902231200,37874792.44718353,766054.581926083,196191819.22721756,83393.82100938314,4820.129180225227,371454.7276077815,86,195425764.64529148
201902251200,50715283.377907105,1662063.3539338016,206938560.54932594,102076.47973481176,11718.275007061473,378753.4516873274,18,205276497.19539213
201903011010,58674160.896402456,1327217.68693476,363055114.6914295,83491.69669076693,12136.727210140178,338689.67479339335,97,361727897.0044947
201903011020,56189317.90435559,1085833.804463121,366986808.00672483,79739.98825912454,6664.999555559862,378550.2841224486,98,365900974.2022617
201903011600,32672599.196893007,1029437.2579898133,187342374.2395036,85825.02770835566,9274.39618158233,351009.3200830551,94,186312936.98151377
201903021410,124226198.93663095,22739065.575230367,224143984.5936355,134610.17008995273,59756.82167706759,369461.8855788214,8,201404919.01840514
201903021610,25421459.62274711,526141.4573969829,191758749.82623774,61785.298417527745,5275.272611432125,378924.73319590033,66,191232608.36884075
201903041020,38134900.60441196,1247983.4311831514,264972658.96881142,78290.36962230483,8576.61284670226,356424.3306206608,39,263724675.53762826
201903041600,33747940.18196654,667613.6006962141,187198551.03227097,84991.61373164477,6275.456958897459,347940.80329748755,83,186530937.43157476
201903061400,44077671.229020335,817747.3404364623,233583644.18276054,86105.03854895433,6299.6802198158675,374044.7158226532,116,232765896.84232408
201903061410,35711966.051555835,979483.4660023709,186604995.800566,94802.69226166821,7844.234808778767,373551.77391118754,116,185625512.3345636
201903061610,56382905.45488845,3538900.591224039,195062444.6921585,134718.29955102364,23116.489877027027,348826.38176640205,10,191523544.10093445
201903081400,47381595.832586445,924898.9073328068,234005020.40559116,84231.20752868707,7349.760120059393,366517.8379270852,48,233080121.49825835
201903081410,43750993.26319376,668818.2069504141,180208037.99659827,77991.28145401213,7049.504152026046,374131.8099552147,48,179539219.78964785
201903081610,30586291.125471532,1420757.5012498312,209173750.3447838,66458.40491091373,11534.653138731406,345345.36731617816,63,207752992.843534
201903091010,45324893.3214331,1426947.987192914,246409224.90886655,84677.83939339643,12312.108449660755,369664.2478395845,114,244982276.92167366
201903091200,35601071.75556957,848236.5578390853,265359305.7481477,67183.27762455199,6326.581088257091,345552.17952861544,28,264511069.1903086
201903091210,32925749.47897884,1229901.5805488538,271959622.849755,76121.42746544162,7015.456860592607,376535.7353232665,28,270729721.2692061
