trajectory_id,distwall,zone_area_mean,zone_area_min,zone_area_max,pct_small_zone,pct_large_zone,passage_width_mean,n_points_x,duration,speed,nb_items,nb_stops,length,curvature,avg_observation_time,stop_intensity,isovist_area_mean,isovist_area_min,isovist_area_max,isovist_perimeter_mean,isovist_perimeter_min,isovist_perimeter_max,n_points_y,isovist_area_range
201902201600,160.46273808569958,1140324.6794323549,282555.01348953205,3300738.02835025,0.2198952879581152,0.2582897033158813,2.724295532846301,573,2662.0,35.58923845797393,164.0,38,94571.11440846548,0.0198136175775403,13.593557314814817,0.8564988730084937,44987093.145204656,1458689.639351083,239839439.49816373,81175.85799745249,7994.906338991697,367252.0905463303,58,238380749.85881266
201902201610,167.0322792204622,1280002.8864092173,282555.01348953205,3300738.02835025,0.1478439425051334,0.2607802874743326,2.9961461873978217,487,2632.0,33.0320308427837,196.0,33,86894.12683203378,0.0241111873092423,9.869145079999988,0.7522796352412094,44789861.11205117,822309.3866270173,186209306.64651036,88275.48997249905,5321.341174268908,395212.7349971707,49,185386997.25988334
201902211210,158.7641260774725,1418780.7738370886,282555.01348953205,3300738.02835025,0.2235897435897436,0.518974358974359,2.86414911015264,975,3992.0,26.614098841603337,271.0,74,105978.69586781888,0.0296897472440679,17.31547883516485,1.1122244488810789,28550208.31186482,764074.001306047,188180071.23535106,80857.53794824533,6237.3898325387945,344380.98043517984,98,187415997.234045
201902211400,190.22298481146623,1300786.2909142154,282555.01348953205,3300738.02835025,0.1868327402135231,0.3451957295373665,2.748119266334668,562,3086.0,25.623708334962167,211.0,61,78996.64467276337,0.0326418643015968,12.645295539682564,1.1860012961532211,45559731.93858633,1011091.6945891306,237885452.0278199,81374.91075038699,12592.742531906195,346061.9551569784,57,236874360.33323076
201902211600,226.64502482821592,1479010.4591191332,282555.01348953205,3300738.02835025,0.1714285714285714,0.5714285714285714,3.096885611708599,280,1550.0,33.39456111783569,76.0,22,51768.378348156446,0.0740232364891776,9.307678875000002,0.8516129031928408,44037274.66563118,1214697.6363173244,422243201.89525294,85517.66074092741,10676.348943564888,422630.61539692956,28,421028504.25893563
201902211610,222.6377542744817,1516025.3879774525,282555.01348953205,3300738.02835025,0.1702898550724637,0.5905797101449275,2.914128461345104,276,1560.0,32.95252353821152,61.0,25,51230.06318333809,0.0267649227165762,9.777832076923085,0.9615384615014791,36751506.21273669,342803.51615533297,194701172.2890982,85176.57287315921,4417.918078104825,374695.18749837077,28,194358368.77294287
201902211700,189.0561956161632,1543999.5215643975,323760.68074737914,3300738.02835025,0.0920245398773006,0.4693251533742331,2.9393392609914923,326,2442.0,31.077762845205942,117.0,33,75687.19831001882,0.0266743422759554,9.095961333333348,0.8108108107908892,46652918.01274446,982267.9418885133,253680845.96978056,96734.00922592645,12852.49452240991,337681.7168297035,33,252698578.02789205
201902211710,188.44186349341936,1502801.3732469662,323760.68074737914,3300738.02835025,0.1288343558282208,0.4539877300613497,2.833087196132188,326,2444.0,34.520007493071326,102.0,36,84252.69885470674,0.0387314876227558,6.628446583333324,0.8837970539881229,37195460.73814654,1268985.855697879,172938508.0499056,84956.1997282649,9387.646442200341,369208.0447998962,33,171669522.19420773
201902221020,182.797976948808,1470366.479104169,323760.68074737914,3300738.02835025,0.0675675675675675,0.4405405405405405,3.334358988195733,740,4686.0,16.733707464784157,112.0,57,78392.78867121338,0.0818763669871237,20.71488548648647,0.7298335467256103,24799744.863654822,371524.321020353,177745612.66596356,69876.02074324088,5720.7000894256,371824.08380072535,74,177374088.3449432
201902221200,186.9216302820116,1431806.9478089423,282555.01348953205,3300738.02835025,0.238095238095238,0.3880952380952381,3.029862500015549,420,3392.0,21.62541733376934,143.0,63,73122.57164734762,0.0538143118044021,11.2015367142857,1.1143867924331183,26860076.50340464,1059347.9346846195,141574232.97176278,76980.96392297889,12611.774631135948,337059.4125854451,42,140514885.03707814
201902221210,191.65043234374068,1665308.220227786,282555.01348953205,3300738.02835025,0.1582568807339449,0.4472477064220183,3.698415095182396,436,3466.0,23.84349746947884,131.0,61,82353.48125876008,0.0629709646028121,12.406444578947378,1.0559723023475598,48684089.10007424,805476.6293438692,207213107.9554814,102961.64238845292,5104.577244525584,398894.7297500266,44,206407631.32613754
201902221400,166.71957072434003,1472373.2400151505,282555.01348953205,3300738.02835025,0.1154102735156771,0.5770513675783856,3.050351314237605,1499,5096.0,26.73454193965413,171.0,78,136122.00804394702,0.0381155349362761,20.34034124691358,0.9183673469279626,29265822.41399577,411209.7356769835,292542828.88276577,61414.539184557856,6074.453626228588,346804.47790958115,150,292131619.14708877
201902221410,224.15000208664927,1077441.3628734169,282555.01348953205,3300738.02835025,0.4864253393665158,0.2986425339366516,3.6812429672443887,442,4428.0,15.147104419728445,179.0,71,66855.04938546343,0.5777339912400187,7.1082546999999945,0.96205962058317,181519007.6657708,4077358.2910068077,367161597.61087334,101498.34530116398,43611.09301155452,401924.728934539,45,363084239.31986654
201902221600,202.8169713266635,1917915.8961612144,282555.01348953205,3300738.02835025,0.0909090909090909,0.6797520661157025,3.794414146707458,484,3384.0,29.13160344603115,195.0,48,98426.04788780984,0.0425004983279891,13.439834684210522,0.8510638297721443,64274050.35463669,1441557.614370144,230787689.56326115,138471.8222693408,7127.666579166173,396285.1448340255,49,229346131.948891
201902221610,194.256765692108,1594288.9003813134,282555.01348953205,3300738.02835025,0.1934604904632152,0.6130790190735694,3.1060405487830405,367,3148.0,26.8221749015935,179.0,64,84280.41480644875,0.0167568132505327,13.028902571428564,1.2198221092524812,23929638.10839061,1266739.8707437706,210452182.20608538,82983.61184961059,7474.997109473475,381827.9170736151,37,209185442.3353416
201902231200,180.3453370447633,1531588.208619067,282555.01348953205,3300738.02835025,0.1619718309859155,0.4612676056338028,3.1356065989522666,852,3398.0,25.869496920887723,194.0,59,87636.28664874024,0.0264895861088718,11.597144761904747,1.041789287797967,37874792.44718353,766054.581926083,196191819.22721756,83393.82100938314,4820.129180225227,371454.7276077815,86,195425764.64529148
201902251200,227.73592982079649,1762333.349957606,323760.68074737914,3300738.02835025,0.0681818181818181,0.6477272727272727,3.7911858670706775,176,4064.0,18.58729753769681,169.0,77,75222.05251141643,0.035447734566602,5.621793199999956,1.1368110236052635,50715283.377907105,1662063.3539338016,206938560.54932594,102076.47973481176,11718.275007061473,378753.4516873274,18,205276497.19539213
201903011010,180.5065035051458,1409743.6163520236,282555.01348953205,3300738.02835025,0.2461220268872802,0.4488107549120992,3.248069191598622,967,4580.0,19.862313524904625,114.0,74,90880.19806126835,0.0567365501797509,20.780987064516115,0.9694323143977804,58674160.896402456,1327217.68693476,363055114.6914295,83491.69669076693,12136.727210140178,338689.67479339335,97,361727897.0044947
201903011020,171.3858418692158,1411463.51422864,282555.01348953205,3300738.02835025,0.2461380020597322,0.4490216271884655,3.057707205528218,971,4584.0,21.403963448201715,108.0,72,97817.52682219296,0.0738526246541251,19.867372580645164,0.9424083769510156,56189317.90435559,1085833.804463121,366986808.00672483,79739.98825912454,6664.999555559862,378550.2841224486,98,365900974.2022617
201903011600,170.05798414279985,1653674.06600062,282555.01348953205,3300738.02835025,0.0994652406417112,0.546524064171123,3.1435697377200023,935,3482.0,21.454346397508846,156.0,66,74517.48859430538,0.0367038903562905,11.231912576923078,1.1372774267466297,32672599.196893007,1029437.2579898133,187342374.2395036,85825.02770835566,9274.39618158233,351009.3200830551,94,186312936.98151377
201903021410,196.8244057047964,1811592.152405725,323760.68074737914,3300738.02835025,0.0375,0.525,4.014526119479469,80,4808.0,12.328076609777812,116.0,65,58890.24689574553,0.053689805938329,9.739853999999468,0.8111480865123399,124226198.93663095,22739065.575230367,224143984.5936355,134610.17008995273,59756.82167706759,369461.8855788214,8,201404919.01840514
201903021610,219.47865275775268,1122740.5017626528,282555.01348953205,3300738.02835025,0.293394777265745,0.2857142857142857,2.7651270203540763,651,5590.0,18.48911754106158,237.0,94,103351.0351617177,0.1036084402766351,14.134790722222128,1.0089445438174351,25421459.62274711,526141.4573969829,191758749.82623774,61785.298417527745,5275.272611432125,378924.73319590033,66,191232608.36884075
201903041020,216.6872077992745,1612759.3021428727,282555.01348953205,3300738.02835025,0.1476683937823834,0.5984455958549223,2.907614937952613,386,4280.0,24.54209663515486,193.0,74,104727.23350154738,0.0531508849641764,10.984130749999906,1.0373831775555509,38134900.60441196,1247983.4311831514,264972658.96881142,78290.36962230483,8576.61284670226,356424.3306206608,39,263724675.53762826
201903041600,173.10278488938678,1509381.868402241,282555.01348953205,3300738.02835025,0.1383495145631068,0.4975728155339806,2.8886130332068505,824,3142.0,32.333189356833685,178.0,60,101341.34516937046,0.0180935585212064,9.26994569014085,1.1457670273492215,33747940.18196654,667613.6006962141,187198551.03227097,84991.61373164477,6275.456958897459,347940.80329748755,83,186530937.43157476
