trajectory_id,x,y,isovist_area,isovist_perimeter
201902181200,5153.09946203904,2182.098288106816,86940190.40875338,140318.62350521074
201902181200,5238.962592992613,2311.308107189044,74663308.39069992,97063.97960904025
201902181200,5632.452431973229,2030.8259548429896,128060190.70567387,90427.61005641664
201902181200,5826.661486046661,2063.292744757608,123405091.19227228,87162.42550536308
201902181200,6270.8904327498885,2370.343955801839,112873331.50390047,69137.68125031701
201902181200,6320.353848621277,2347.849398261387,152578245.4938747,77254.24779048451
201902181200,6281.840124905712,1337.6468244963107,11484937.697463002,100077.99015327191
201902181200,6659.171760439974,1167.6776477657916,38549365.87943175,53460.349233948466
201902181200,6633.41828653206,1167.6776477657916,42789371.23429728,81777.32673288175
201902181200,6607.664812624147,1167.6776477657916,42985418.00433278,82176.00735934729
201902181200,6581.911338716233,1167.6776477657916,50721028.89419949,112010.59777748105
201902181200,6393.205495165637,442.38830975573023,1828971.4386336294,31600.37064223597
201902181200,6391.793607928001,976.9449669845752,15697071.37729327,75752.57482612233
201902181200,6415.260156949455,2146.5227868656625,213418457.91113475,106408.68783544708
201902181200,45.91598080385828,4869.589864333552,196631228.8334428,86503.22506853775
201902181200,802.1124200194439,4760.027114735743,69995822.49797134,247527.73749295296
201902181200,2142.534791836172,3881.9087047621074,57527018.00343258,219722.14220806095
201902181200,2380.378180302276,2368.144579426717,24831555.82500792,183162.14352569144
201902181200,2991.5216082397924,2333.5799492388487,11840328.04830544,99707.11657163387
201902181200,3007.934662333096,2304.021752387293,30993566.65381142,75660.47165507208
201902181200,3066.842135399808,1999.6063562165084,37793960.08404255,47448.94007150179
201902181200,3061.95377004737,1998.79122328686,37907982.39139638,48554.99641966909
201902181200,3057.065404694933,1997.9760903572103,41861147.554387726,49377.260799041396
201902181200,3052.177039342495,1997.1609574275608,38618115.54198629,78280.26430153278
201902181200,3047.2886739900573,1996.345824497912,38200913.244497605,75881.82090911451
201902181200,3042.400308637619,1995.5306915682631,41806407.93985148,50602.115240863044
201902181200,3037.5119432851816,1994.715558638614,41795727.45435953,50597.974660588545
201902181200,3032.623577932744,1993.900425708965,38045043.83705527,50346.14829798959
201902181200,3027.7352125803063,1993.085292779316,38146788.44759513,50708.56361997379
201902181200,2174.7495969918987,2996.427466470515,65296793.23824217,134581.73006829934
201902181200,2372.7685750136484,4665.406906162362,164411167.192296,371704.35299050633
201902181210,2571.1007076742694,4717.176189884804,175841890.27780586,351253.8602864299
201902181210,2311.599051920304,3702.4136827290135,74262311.24354947,246710.9289552804
201902181210,1773.1013527069838,3595.9787769498103,43268115.97854976,79519.74676334723
201902181210,1788.8846953252794,3277.9055475956475,38443329.828864485,130085.89011658539
201902181210,2293.6614910505346,2735.113597023641,36284682.23525661,207462.31029034
201902181210,2283.128931674819,2666.6178977245804,39604400.02982361,180480.4159214136
201902181210,2769.393141732915,2108.0295388424256,24987669.007791266,101661.8436855698
201902181210,3498.3280187627706,1641.477934180664,2393027.1361253285,19819.41270279145
201902181210,3670.80377795736,1199.7434417021957,12198836.738447193,80385.85926580323
201902181210,3663.179673960733,889.3362819820225,10265791.534422584,39646.31084496795
201902181210,3506.834463935667,493.375713472606,7506185.668807907,66793.79533974669
201902181210,4040.4276172932746,652.6365376059302,8040613.421293947,64756.98941339251
201902181210,3862.5453081927935,1501.9510685495686,27378609.818168722,77871.85290473606
201902181210,3853.36527997294,1561.6509411136667,23680888.623867355,78554.91525166137
201902181210,3893.79633626745,1879.654167033191,2045598.5188707418,19432.3835477923
201902181210,3805.0949175524975,2028.2574735431567,67148441.76005112,102949.5518222047
201902181210,4118.979316289601,2378.98721774166,10511463.42861579,45364.70166553586
201902181210,4153.298442086205,2316.037515151216,46577226.240665466,82640.15137804614
201902181210,4412.280181652362,1757.5157170355951,46127787.510101944,59239.45471465525
201902181210,4508.456770741813,1521.10657369312,7395549.248000977,81624.0163424286
201902181210,4879.5166259594,1097.3915914697095,12065150.27722722,58450.475599210266
201902181210,4536.06650376476,670.1406502311049,2080457.945767088,15860.7594886933
201902181210,4882.178924004044,569.4616927907731,1918175.4783731035,19136.65559811116
201902181210,5322.708905820147,583.7061297975595,2324923.131153833,40457.85965087397
201902181210,5758.0860834003815,394.69999818603327,1457209.0704719545,7968.2934058796245
201902181210,5860.829513381624,367.4330522238614,1560809.101074947,10595.39866123228
201902181210,6029.444272751735,646.427354382108,6507991.013274884,42924.07298861245
201902181210,6355.870733816751,923.7576693864912,8842865.56337807,126365.13758680824
201902181210,5872.195708968567,1084.854338667941,15263441.529560894,47610.81843087868
201902181210,5864.069503819996,1133.6358289118457,15501374.789738962,60882.49960318631
201902181210,5931.05233348401,1526.172392918741,29182271.855832465,40976.48687296046
201902181210,5712.639930805306,1830.031140046957,2292602.339731115,16183.614002352544
201902181210,5308.357542417052,1803.5038370309896,16276570.308539392,65837.0262386308
201902181210,5231.18952361573,2195.1118654833244,84351493.49934128,116381.25770275797
201902181210,5271.134823695441,2309.017539301849,94331141.50419424,124754.81229649481
201902181210,5430.365783479694,2221.1205043115096,143734978.409649,96332.71430971699
201902181210,5777.435268724135,2071.3379794860907,131296174.25406751,88037.70428830429
201902181210,6287.554009111482,2348.205200783774,133616407.83265385,102345.15274945123
201902181210,6394.306098040734,2235.552533700555,220437985.03751287,86785.01644968943
201902181210,6233.639116222531,1461.3198087703038,18604452.852116607,72420.34586223305
201902181210,6653.207302732868,1181.2314924748237,38595587.88752941,54993.404723001186
201902181210,6618.981418928215,1183.3716745390795,46650560.19038715,84297.4051109362
201902181210,6584.755535123563,1185.5118566033357,46842046.77798328,84040.21132274871
201902181210,6550.529651318911,1187.6520386675916,55465567.57101751,114358.77720605608
201902181210,6436.29816197546,432.4521001261993,1790020.7601024457,32200.438828382114
201902181210,6551.955986105191,908.7957261187872,1542375.123845143,13638.081936758987
201902181210,6364.887937864364,2155.8264512006576,192414545.52514428,120257.90386931738
201902181210,56.1668560202726,4957.359194020081,249748898.24454153,151015.91931667406
201902181210,1639.1007369119318,4766.895950977153,124762982.84295584,355302.62283506524
201902181210,2134.2310038071014,3698.3741211129127,72157974.58460248,192666.16850157292
201902181210,2669.978117508472,2161.592460304201,18696145.32547978,97055.46371297912
201902181210,3056.505362363788,2155.4753652107534,65346514.891590305,51649.10325528232
201902181210,3061.495126807217,2109.6580822650694,65182258.76093573,56675.77807820441
201902181210,3062.890172607065,2102.679382713137,61564391.23949046,84646.72351334587
201902181210,3064.285218406913,2095.7006831612043,57373161.98235071,55732.65950411803
201902181210,3065.6802642067605,2088.721983609272,57974925.65646478,80804.35956631368
201902181210,3067.075310006609,2081.7432840573388,57973463.78906987,80806.64882456377
201902181210,3068.4703558064566,2074.764584505406,54448974.683884606,108556.92583405672
201902181210,3069.8654016063047,2067.785884953473,49857539.335138306,80967.39476175403
201902181210,3071.2604474061527,2060.8071854015407,49794104.51602104,75107.05384749836
201902181210,3072.6554932060008,2053.828485849608,49791565.66460393,75118.0017312149
201902181210,3074.0505390058483,2046.849786297676,46316467.68352445,73186.65839481371
201902181210,2121.765859512089,3248.4438422036687,66941728.17592017,135194.5931846925
201902181210,2539.1355392802707,4796.8970666005225,180516957.35774195,379478.1857254056
201902181410,2718.643493637971,4770.854806778853,193948416.43635824,367869.74326877703
201902181410,2383.2981808058344,3750.586512505319,68240011.12290886,170970.40936272327
201902181410,2318.7896987075405,3212.5940496933845,80915965.73138008,215532.13999375305
201902181410,2269.30864547579,2671.8034614275966,36093199.41773112,180189.11204186123
201902181410,2238.732095747405,2120.845698287971,15574713.345855756,125825.2725841598
201902181410,2903.807621227483,1871.521366451104,28331708.070756555,74822.39661232884
201902181410,3010.420901280948,2349.1484588101,15444672.898996862,68525.98235518405
201902181410,3117.456297648328,1979.566728288288,30256415.29666277,70863.55929834959
201902181410,3452.3044462478474,1597.0742523444449,2185862.5323414425,17818.084110227457
201902181410,3724.523904787759,508.8273807774933,7943476.87291275,93649.22683543462
201902181410,4088.1563642919537,850.7072635594046,11263199.27272682,78364.69322080613
201902181410,3838.091710955214,1819.9600095298665,39319995.429336205,74472.1176366986
201902181410,3911.907774186735,2056.320642707768,63901390.72940747,99725.03233328427
201902181410,4356.045259600223,2293.327872485467,144499841.06518528,91195.69709793931
201902181410,4712.902542246482,2162.9294615763747,107548436.81479941,103130.34913785782
201902181410,4932.841934971652,2104.939088172709,81509504.24518764,97346.43788858049
201902181410,5003.865840300164,1516.5949777012204,22802869.617571685,56769.73894685294
201902181410,5253.880463727855,1816.0575333841823,45221677.52930188,76248.97904205554
201902181410,5893.672555682497,1799.3900505562565,6069773.1830914775,46241.667104945656
201902181410,5883.149561828826,1790.092935900067,2147639.2570810164,42202.61950834797
201902181410,5983.417817570063,1504.7305178457304,25385897.289012488,41234.639351283935
201902181410,5987.403210079286,1500.632370625246,25377832.05624766,41145.74125389734
201902181410,5835.511299245933,1106.6695957366871,15446312.139314726,54739.522228248985
201902181410,5620.247342225584,1438.8041825786092,2403540.260058768,27848.53049787909
201902181410,5672.876191386394,1570.298934667797,1537279.39304971,12252.013589443999
201902181410,5429.3550944886965,1551.9808973457305,14052850.60446504,71527.20902423526
201902181410,5323.068809973093,1159.259178171028,12586477.620531378,81209.43641867221
201902181410,5301.529846942105,968.9484722088556,11297165.507998226,46778.936364067515
201902181410,5286.387063242893,806.1101722428859,10600051.704744034,42373.39405423449
201902181410,5059.7563510954615,818.7666379544709,19547609.81509159,78697.13372011634
