passation_hour,visitor_id,age,gender,city_country_residence,nationality,french_level,diploma,one_artwork_interest,discovery_interest,crowd_tolerance,lose_interest_with_crowd,distance_tolerance,already_visited,number_visits,last_time_visited,group_or_alone,visit_duration,eye_problem,physical_sleepiness,mental_sleepiness,speed,current_emotion,motiv_curiosity,motiv_else,motiv_familyOut,motiv_price,motiv_schoolOut,motiv_weather,visitGoal_surprised,visitGoal_else,visitGoal_explore,visitGoal_inspiration,visitGoal_fun,visitGoal_interact,visitGoal_learn,visitGoal_noGoal,visitGoal_SeeAgain,visitGoal_mindOff
2019/02/20 3:09:38 PM UTC+2,201902201410,34,man,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",3,4,3,4,5,Yes,4,Several months ago,group,120,"Normal vision with visual correction device (glasses, lenses)",3,2,4,4,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
2019/02/20 4:59:37 PM UTC+2,201902201600,55,man,"Velle-sur-Moselle, France",french,Native/bilingual,BTEC Higher National Diploma,1,5,5,1,5,Yes,2,About a year ago,group,unlimited,Normal vision,1,1,5,5,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1
2019/02/20 5:01:38 PM UTC+2,201902201610,56,woman,"Velle-sur-Moselle, France",french,Native/bilingual,BTEC Higher National Diploma,3,5,5,1,5,Yes,5,About a year ago,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",2,2,4,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019/02/21 2:10:00 PM UTC+2,201902211400,36,man,"Nancy, France",french,Native/bilingual,PhD,2,4,3,2,4,Yes,20,A few weeks ago,alone,unlimited,"Normal vision with visual correction device (glasses, lenses)",2,3,5,5,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1
2019/02/21 4:38:45 PM UTC+2,201902211600,46,man,"Fleville, France",french,Native/bilingual,BTEC Higher National Diploma,1,5,5,5,3,No,0,Never,group,unlimited,Normal vision,4,1,2,5,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
2019/02/21 4:40:03 PM UTC+2,201902211610,12,woman,"Fleville, France",french,Native/bilingual,No diploma,1,3,3,2,3,Yes,1,Several years ago,group,unlimited,Normal vision,2,1,3,5,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
2019/02/21 5:24:25 PM UTC+2,201902211700,43,woman,"Fleville, France",french,Native/bilingual,A levels,1,2,4,1,5,No,0,Never,group,unlimited,Normal vision,1,1,3,5,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0
2019/02/21 5:28:14 PM UTC+2,201902211710,19,woman,"Fleville, France",french,Native/bilingual,Middle school,1,4,1,1,5,No,0,Never,group,unlimited,Normal vision,1,1,3,3,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
2019/02/22 11:25:48 AM UTC+2,201902221010,14,woman,"Neuves-maisons, France",french,Native/bilingual,Middle school,3,2,4,3,4,No,0,Never,group,unlimited,Normal vision,2,1,3,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2019/02/22 11:26:27 AM UTC+2,201902221020,14,woman,"Neuves-maisons, France",french,Native/bilingual,Middle school,1,4,5,3,3,No,0,Never,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",4,2,3,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
